sample	genotype	polstate	source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[genotype]	characteristics[phase]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	factor value[phase]	factor value[genotype]	rep
WT_M0_1	WT	M0	WT_M0	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M0	1	WT_M0_S1	label-free quantitation	231208_EKnutsen_THP1_WT_M0_S1.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M0	WT	1
WT_M0_2	WT	M0	WT_M0	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M0	2	WT_M0_S13	label-free quantitation	231208_EKnutsen_THP1_WT_M0_S13.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M0	WT	2
WT_M0_3	WT	M0	WT_M0	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M0	3	WT_M0_S19	label-free quantitation	231208_EKnutsen_THP1_WT_M0_S19.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M0	WT	3
WT_M1_1	WT	M1	WT_M1	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M1	1	WT_M1_S2	label-free quantitation	231208_EKnutsen_THP1_WT_M1_S2.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M1	WT	1
WT_M1_2	WT	M1	WT_M1	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M1	2	WT_M1_S14	label-free quantitation	231208_EKnutsen_THP1_WT_M1_S14.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M1	WT	2
WT_M1_3	WT	M1	WT_M1	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M1	3	WT_M1_S20	label-free quantitation	231208_EKnutsen_THP1_WT_M1_S20.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M1	WT	3
WT_M2_1	WT	M2	WT_M2	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M2	1	WT_M2_S3_B	label-free quantitation	231208_EKnutsen_THP1_WT_M2_S3_B.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M2	WT	1
WT_M2_2	WT	M2	WT_M2	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M2	2	WT_M2_S15	label-free quantitation	231208_EKnutsen_THP1_WT_M2_S15.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M2	WT	2
WT_M2_3	WT	M2	WT_M2	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	WT	M2	3	WT_M2_S21	label-free quantitation	231208_EKnutsen_THP1_WT_M2_S21.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M2	WT	3
KO_M0_1	KO	M0	KO_M0	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	KO	M0	1	KO_M0_S4	label-free quantitation	231208_EKnutsen_THP1_KO_M0_S4.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M0	KO	1
KO_M0_2	KO	M0	KO_M0	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	KO	M0	2	KO_M0_S16	label-free quantitation	231208_EKnutsen_THP1_KO_M0_S16.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M0	KO	2
KO_M0_3	KO	M0	KO_M0	Homo sapiens	not available	not available	not available	not available	monocytes	not applicable	THP-1	KO	M0	3	KO_M0_S22	label-free quantitation	231208_EKnutsen_THP1_KO_M0_S22.raw	NT=label free sample	1	1	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	M0	KO	3
